GEOID,population_18_up,degree_18_up,attainment_rate
13017,12865,1179,.091643997
13019,14449,1533,.10609731
13021,115566,26233,.22699583
13023,10072,1425,.14148134
13025,13904,1080,.077675492
13027,12232,1512,.12361021
13029,24691,7277,.29472277
13031,58923,12481,.21181881
13033,16697,1792,.10732467
13035,18578,1807,.097265586
13037,5326,459,.086181
13039,39315,8135,.20691848
13043,8121,1076,.132496
13045,87038,14760,.1695811
13047,50382,9431,.18718986
13049,10436,794,.076082788
13051,222734,66147,.29697755
13053,8625,2085,.24173912
13055,19242,1752,.091050826
13057,175275,57110,.32583085
13059,102099,33069,.32389152
13061,2312,183,.079152249
13063,196756,33624,.17089187
13065,4980,576,.11566265
13067,558636,232659,.41647691
13069,32462,4067,.12528495
13071,33671,3891,.11555938
13073,106507,33542,.31492767
13075,12711,1703,.13397844
13077,102836,27405,.26649228
13079,9731,1182,.12146748
13081,17300,2110,.12196532
13083,13158,1558,.11840706
13085,18417,5293,.2873975
13087,20341,2757,.13553905
13089,562768,218486,.38823459
13091,16752,2211,.13198423
13093,11431,1027,.089843407
13095,68923,12373,.17951918
13097,102866,24966,.24270409
13099,7823,1195,.15275469
13101,2871,181,.063044235
13103,41712,7255,.17393076
13105,15040,1543,.10259309
13107,16825,1928,.11459138
13109,7911,1144,.14460877
13111,20224,3602,.17810522
13113,84091,36032,.42848819
13115,73809,13831,.18738908
13117,150770,70051,.4646216
13119,17376,2030,.11682781
13121,779870,356808,.45752242
13123,23604,4024,.17047958
13125,2329,214,.091884926
13127,64413,17084,.26522598
13129,42145,5355,.12706134
13131,18737,2351,.12547366
13133,13504,3315,.24548282
13135,643774,207317,.32203382
13137,33856,5676,.16765124
13139,142154,30133,.21197434
13141,7422,590,.079493396
13143,21779,2802,.12865604
13145,25846,6494,.25125745
13147,20140,2546,.12641509
13149,8913,940,.10546393
13151,159381,39992,.25092074
13153,111520,25785,.23121414
13155,7231,850,.11754944
13157,47573,8550,.1797238
13159,10472,1044,.099694423
13161,10942,1063,.097148605
13163,12139,1167,.096136421
13165,6767,482,.07122802
13167,7802,687,.088054344
13169,21718,4076,.18767843
13171,14437,2165,.1499619
13173,7743,1137,.14684232
13175,35670,4975,.13947295
13177,21388,5139,.24027492
13179,44310,7204,.16258182
13181,6262,754,.12040882
13183,12764,1725,.13514572
13185,86643,17999,.20773749
13187,25724,5582,.21699581
13189,15812,2214,.14002024
13191,11568,1511,.13061894
13193,11013,830,.075365476
13195,21994,3467,.1576339
13197,6680,818,.12245509
13199,16495,1651,.10009094
13201,4526,493,.10892621
13205,17263,1929,.11174188
13207,21216,4561,.21497926
13209,7026,995,.14161685
13211,13884,2788,.20080668
13213,29451,2563,.087025911
13215,149258,34739,.23274465
13217,76794,13873,.18065214
13219,26329,11546,.43852785
13221,11460,1702,.14851658
13223,110422,24300,.22006485
13225,21142,3684,.1742503
13227,24139,5619,.23277684
13229,14318,1733,.12103646
13231,13558,2040,.15046467
13233,30662,3513,.11457178
13235,9456,1104,.11675127
13237,17207,3445,.20020922
13239,1767,138,.078098468
13241,13503,3178,.23535511
13243,5552,607,.10932997
13245,154332,29313,.18993469
13247,65865,15578,.23651408
13249,3842,458,.11920875
13251,10928,1446,.13232064
13253,6694,923,.13788468
13255,48671,7231,.14856896
13257,19863,3522,.17731461
13259,5000,545,.109
13261,23475,3516,.14977635
13263,5288,613,.11592285
13265,1548,106,.068475455
13267,20107,2201,.10946436
13269,6523,670,.10271347
13271,13483,998,.074019134
13273,6806,671,.09858948
13275,34051,7052,.20710111
13277,30420,4467,.14684418
13279,19803,2814,.14209968
13281,9652,2157,.22347701
13283,5317,758,.1425616
13285,51950,8694,.16735323
13287,6038,750,.12421332
13289,6726,555,.082515612
13291,18657,3953,.21187758
13293,20363,2471,.12134754
13295,53320,7584,.14223556
13297,66153,11339,.17140569
13299,27174,3288,.12099801
13301,4262,564,.13233224
13303,15883,1872,.11786187
13305,22466,2609,.11613104
13307,2006,213,.10618146
13309,6605,438,.066313401
13311,22538,4174,.18519834
13313,76094,10391,.13655479
13315,7174,672,.09367159
13317,7866,1028,.13068904
13319,7028,615,.087507114
13321,15940,1574,.098745294
15001,153211,40580,.26486349
15003,777850,240020,.30856848
15005,84,18,.21428572
15007,55281,14493,.26216963
15009,127649,31298,.24518798
16001,327266,112998,.34527877
16003,3253,616,.18936366
16005,61551,15436,.25078389
16007,4331,806,.18610021
16009,7026,935,.13307714
16011,30998,5349,.17255951
16013,16603,6233,.37541407
16015,5704,1573,.27577138
16017,33389,7000,.20964989
16019,75860,20119,.26521224
16021,8664,1446,.16689751
16023,2080,294,.14134616
16025,664,126,.18975903
16027,145588,23474,.16123581
16029,4897,895,.18276496
16031,15821,2542,.16067253
16033,701,100,.14265335
16035,7165,1177,.16427076
16037,3474,747,.2150259
16039,19424,2888,.14868204
16041,8694,1632,.18771566
16043,9320,1789,.19195279
16045,12876,2028,.15750232
16047,10918,1505,.13784575
16049,13043,2301,.17641647
16051,17893,3358,.18767115
16053,15868,1855,.11690194
16055,114928,25932,.22563691
16057,31432,11268,.35848817
16059,6389,1340,.20973548
16061,2947,442,.14998303
16063,3657,297,.081214108
16065,27881,6736,.24159822
16067,14583,1827,.12528287
